Cities Weather,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
278,zhezkazgan,0,KZ,1532300057,58,47.8,67.71,54.12,22.84
279,bataipora,48,BR,1532300132,61,-22.3,-53.27,71.76,7.96
280,melita,8,CA,1532300132,89,49.27,-100.98,74.46,8.19
281,kalabo,0,ZM,1532300132,60,-15.0,22.67,57.54,12.55
282,nemuro,44,JP,1532300133,100,43.32,145.57,57.09,19.82
283,berlevag,80,NO,1532300133,95,70.86,29.09,52.59,3.83
284,manakara,92,MG,1532300133,100,-22.14,48.01,66.81,12.88
285,camacha,20,PT,1532298600,73,33.08,-16.33,71.6,8.05
286,kerch,24,UA,1532300133,99,45.35,36.45,78.69,14.67
287,dukat,36,RS,1532300134,85,42.44,22.31,58.89,1.7
288,shchigry,64,RU,1532300134,95,51.87,36.91,64.47,6.73
289,launceston,88,AU,1532298600,81,-41.43,147.14,44.6,5.82
290,neiafu,20,TO,1532296800,61,-18.65,-173.98,77.0,5.82
291,gallup,1,US,1532296380,18,35.53,-108.74,91.4,5.82
292,mecca,0,SA,1532296800,38,21.43,39.83,93.2,1.48
293,saint-pierre,0,FR,1532298600,63,48.95,4.24,64.4,5.82
294,nadvoitsy,48,RU,1532300136,96,63.89,34.27,66.54,4.61
295,bauchi,12,NG,1532300136,95,10.31,9.85,67.62,2.82
296,wamba,24,CD,1532300136,96,2.14,27.99,66.72,2.04
297,kudahuvadhoo,92,MV,1532300136,100,2.67,72.89,78.06,17.36
298,hengyang,0,CN,1532300136,97,26.89,112.6,83.37,4.38
299,bonavista,0,CA,1532300137,69,48.65,-53.11,66.27,14.23
300,guerrero negro,12,MX,1532300137,66,27.97,-114.04,78.69,13.22
301,marystown,92,CA,1532300137,91,47.17,-55.16,59.07,11.43
302,nakamura,40,JP,1532296800,74,35.17,136.87,86.0,11.41
303,birjand,0,IR,1532296800,28,32.86,59.22,80.6,4.7
304,guanica,90,PR,1532296200,65,17.97,-66.91,82.4,4.7
305,mandan,40,US,1532297700,58,46.83,-100.89,84.2,17.22
306,owando,0,CG,1532300138,92,-0.49,15.91,70.86,2.37
307,acapulco,20,MX,1532296200,74,16.86,-99.88,87.8,12.75
308,mana,0,RS,1532298600,100,43.52,20.24,62.6,2.24
309,pringsewu,44,ID,1532300139,89,-5.36,104.98,73.56,3.71
310,brazzaville,0,CD,1532296800,88,-4.27,15.27,71.6,4.7
311,madaoua,8,NE,1532300140,75,14.07,5.96,79.5,7.96
312,kodiak,1,US,1532296380,43,39.95,-94.76,87.8,6.93
313,okakarara,0,NA,1532300140,73,-20.59,17.46,43.41,7.52
314,surovikino,12,RU,1532300144,90,48.61,42.84,65.64,2.71
315,anadyr,90,RU,1532296800,100,64.73,177.51,51.8,6.71
316,mega,92,ET,1532300144,94,4.06,38.32,59.61,7.07
317,sorong,80,ID,1532300144,100,-0.86,131.25,79.59,9.75
318,mount isa,0,AU,1532298600,26,-20.73,139.49,46.4,4.61
319,kimbe,56,PG,1532300145,100,-5.56,150.15,80.76,6.96
320,komsomolskiy,56,RU,1532300145,54,67.55,63.78,69.6,5.61
321,puri,20,ID,1532296800,94,-7.54,112.45,75.2,1.12
322,okha,20,RU,1532300146,94,53.59,142.95,58.71,5.5
323,airai,0,TL,1532300146,71,-8.93,125.41,69.24,2.26
324,guilin,20,CN,1532296800,94,25.28,110.29,75.2,2.24
325,sanming,20,CN,1532300146,86,26.24,117.6,78.69,2.37
326,luau,0,CD,1532300146,49,-10.7,22.23,58.44,5.5
327,abu dhabi,0,AE,1532296800,67,24.47,54.37,93.2,5.82
328,juneau,20,US,1532296560,49,58.3,-134.42,73.4,10.29
329,fort nelson,75,CA,1532296800,32,58.81,-122.69,68.0,11.41
330,lircay,20,PE,1532296800,52,-12.99,-74.72,64.4,5.82
331,hovd,75,NO,1532298000,82,63.83,10.7,62.6,11.41
332,makakilo city,75,US,1532296620,55,21.35,-158.09,87.8,8.05
333,yumen,0,CN,1532300148,37,40.29,97.04,64.83,6.06
334,eyrarbakki,90,IS,1532296800,87,63.86,-21.15,48.2,5.82
335,masvingo,0,ZW,1532300148,94,-20.08,30.83,45.03,6.62
336,ibia,92,NG,1532300148,98,5.18,6.32,74.64,6.62
337,entre rios,92,BR,1532300149,79,-11.94,-38.08,75.81,10.76
338,berga,0,ES,1532298600,94,42.1,1.85,68.0,1.12
339,richards bay,0,ZA,1532300149,76,-28.77,32.06,63.39,11.1
340,gazanjyk,0,TM,1532300149,60,39.24,55.52,78.06,2.59
341,athabasca,56,CA,1532300150,63,54.72,-113.29,68.07,13.56
342,revelstoke,1,CA,1532296800,41,50.99,-118.19,75.2,1.81
343,buala,88,SB,1532299966,87,-8.15,159.59,82.47,7.96
344,teknaf,92,BD,1532300150,100,20.86,92.31,74.01,4.94
345,linden,40,GY,1532296800,74,6.01,-58.31,82.4,11.41
346,labuhan,32,ID,1532300151,92,-2.54,115.51,75.54,2.71
347,sao felix do xingu,0,BR,1532300152,52,-6.64,-51.99,80.49,3.15
348,rio grande,0,BR,1532295900,93,-32.03,-52.1,55.4,6.93
349,homer,1,US,1532296380,67,59.64,-151.54,62.6,9.17
350,oak creek,75,US,1532299320,83,42.89,-87.86,75.2,8.05
351,arinos,44,BR,1532300153,44,-15.92,-46.11,67.62,6.85
352,haines junction,0,CA,1532300153,27,60.75,-137.51,75.72,3.04
353,lerwick,80,GB,1532298000,87,60.15,-1.15,55.4,10.29
354,san francisco,1,US,1532299200,77,37.78,-122.42,89.6,9.17
355,wilmington,75,US,1532298420,69,39.75,-75.55,82.4,20.8
356,shiyan,24,CN,1532300155,77,32.65,110.78,80.94,2.37
357,kaitangata,92,NZ,1532300155,100,-46.28,169.85,44.67,7.85
358,waterloo,90,CA,1532296800,83,43.47,-80.52,73.4,10.29
359,boa vista,75,BR,1532296800,83,2.82,-60.67,78.8,4.7
360,springbok,32,ZA,1532300156,35,-29.67,17.88,55.29,8.97
361,gorodovikovsk,48,RU,1532300156,78,46.08,41.93,70.77,6.73
362,labranzagrande,100,CO,1532300157,100,5.56,-72.58,62.76,1.14
363,abu kamal,0,SY,1532300157,35,34.45,40.92,83.01,13.0
364,padang,0,ID,1532300157,100,-0.92,100.36,82.02,8.86
365,mount gambier,48,AU,1532300157,61,-37.83,140.78,55.11,11.99
366,manoel urbano,0,BR,1532300158,77,-8.84,-69.26,73.74,3.04
367,pak phanang,32,TH,1532300158,97,8.35,100.2,82.47,10.09
368,dahra,40,DZ,1532296800,69,36.25,0.85,77.0,2.82
369,teahupoo,20,PF,1532298600,66,-17.83,-149.27,84.2,14.99
370,gat,92,SN,1532300159,83,14.69,-16.54,79.14,4.94
371,mirnyy,92,RU,1532300159,93,56.57,36.46,66.54,13.0
372,esperance,20,TT,1532296800,69,10.24,-61.45,82.4,14.99
373,katherine,0,AU,1532298600,40,-14.47,132.26,53.6,3.36
374,iracoubo,56,GF,1532300159,81,5.48,-53.21,78.96,4.83
375,joacaba,48,BR,1532300160,84,-27.18,-51.5,56.73,3.6
376,fairbanks,1,US,1532296680,30,64.84,-147.72,84.2,3.36
377,dingle,92,PH,1532300160,97,11.0,122.67,77.16,11.54
378,ucluelet,5,CA,1532296800,49,48.94,-125.55,73.4,9.17
379,monterey,1,US,1532298900,44,36.6,-121.89,78.8,21.92
380,grindavik,90,IS,1532296800,93,63.84,-22.43,48.2,1.12
381,coelho neto,0,BR,1532300161,76,-4.25,-43.02,77.07,3.38
382,reyes,0,BO,1532296800,57,-14.3,-67.34,78.8,2.59
383,awjilah,0,LY,1532300162,40,29.14,21.3,76.35,5.5
384,itaueira,36,BR,1532300162,47,-7.6,-43.03,79.59,9.19
385,puerto escondido,20,MX,1532295660,59,15.86,-97.07,91.4,8.05
386,liverpool,0,GB,1532298000,88,53.41,-2.98,66.2,1.12
387,hirtshals,0,DK,1532300162,98,57.59,9.96,61.14,16.91
388,matara,12,PE,1532300163,89,-13.74,-72.9,39.27,1.92
389,oussouye,80,SN,1532296800,78,12.49,-16.54,80.6,4.7
390,ushibuka,24,JP,1532300163,87,32.19,130.02,84.18,0.58
391,itoman,90,JP,1532297460,88,26.12,127.67,84.2,14.99
392,deputatskiy,88,RU,1532300164,68,69.3,139.9,53.67,3.83
393,zaozerne,64,UA,1532300164,75,51.37,23.94,67.8,8.97
394,horasan,92,TR,1532300164,98,40.04,42.16,52.14,3.04
395,salalah,90,OM,1532296200,94,17.01,54.1,77.0,9.17
396,cornwall,1,CA,1532297700,58,45.02,-74.73,82.4,11.41
397,metro,44,ID,1532300165,93,-5.11,105.31,77.34,6.51
398,diego de almagro,0,CL,1532300165,86,-26.39,-70.05,53.94,3.04
399,cururupu,24,BR,1532300165,81,-1.82,-44.87,78.96,5.39
400,jinsha,0,CN,1532296800,83,24.49,118.41,80.6,2.24
401,kralendijk,75,BQ,1532296500,74,12.15,-68.27,84.2,17.22
402,terrace,75,CA,1532296800,50,54.52,-128.61,78.8,5.82
403,carnduff,0,CA,1532300166,32,49.17,-101.8,79.32,19.04
404,coruripe,36,BR,1532300166,97,-10.12,-36.18,76.8,17.02
405,svetlopolyansk,0,RU,1532300166,70,59.42,52.36,53.4,5.84
406,saint-augustin,0,FR,1532298600,82,44.83,-0.61,66.2,2.24
407,jatai,8,IN,1532300167,96,28.97,76.18,77.43,2.93
408,vestmannaeyjar,0,IS,1532300167,99,63.44,-20.27,47.01,3.71
409,buraydah,0,SA,1532296800,24,26.33,43.97,93.2,12.75
410,nouadhibou,8,MR,1532296800,83,20.93,-17.03,69.8,16.11
411,alta floresta,0,BR,1532299954,34,-9.87,-56.08,81.21,4.38
412,bandarbeyla,24,SO,1532300168,80,9.49,50.81,76.44,26.53
413,sinnamary,68,GF,1532300168,94,5.38,-52.96,81.12,10.2
414,sakata,75,JP,1532296800,78,38.92,139.93,80.6,12.75
415,sambava,88,MG,1532300168,100,-14.27,50.17,71.13,22.06
416,necochea,0,AR,1532300126,80,-38.55,-58.74,39.54,10.76
417,saquarema,20,BR,1532296800,94,-22.93,-42.51,73.4,2.59
418,havelock,40,US,1532298180,88,34.88,-76.9,87.8,13.87
419,ambunti,44,PG,1532300169,81,-4.22,142.82,82.02,2.59
420,yining,44,CN,1532300169,76,29.04,114.56,82.83,3.38
421,moshny,8,UA,1532300170,98,49.52,31.74,63.21,5.06
422,waingapu,0,ID,1532300170,90,-9.65,120.26,72.21,8.75
423,aktau,0,KZ,1532296800,69,43.65,51.16,75.2,6.71
424,nome,1,US,1532297700,44,30.04,-94.42,96.8,9.17
425,otane,0,NZ,1532300171,50,-39.89,176.62,51.69,12.33
426,maldonado,90,UY,1532296800,81,-34.91,-54.96,50.0,8.05
427,te anau,92,NZ,1532299970,100,-45.41,167.72,39.72,3.94
428,leh,92,IN,1532300171,89,34.16,77.58,35.94,2.04
429,waihi,32,NZ,1532300171,79,-37.39,175.84,55.38,4.16
430,moroni,56,US,1532300172,40,39.52,-111.59,74.91,1.14
431,praia,0,BR,1532296800,55,-20.25,-43.81,66.2,6.93
432,zhuanghe,76,CN,1532300172,86,39.7,122.97,77.79,6.73
433,sakharovo,88,RU,1532300172,86,56.9,36.05,67.08,10.76
434,shar,68,NG,1532300172,91,7.3,8.73,76.26,6.62
435,north platte,75,US,1532296380,59,41.12,-100.77,89.6,6.93
436,chengde,8,CN,1532300173,85,40.97,117.93,77.88,3.38
437,vila,0,IT,1532298000,73,45.18,8.4,73.4,2.24
438,ketou,56,BJ,1532300173,97,7.36,2.6,73.29,4.72
439,batemans bay,0,AU,1532300066,100,-35.71,150.18,43.41,4.05
440,kavaratti,68,IN,1532300174,95,10.57,72.64,82.83,27.76
441,honiara,75,SB,1532296800,100,-9.43,159.96,77.0,5.82
442,miles city,1,US,1532296380,21,46.41,-105.84,82.4,8.05
443,naica,0,MX,1532300174,23,27.86,-105.49,95.97,7.52
444,mayumba,88,GA,1532300175,96,-3.44,10.65,69.96,5.5
445,potiskum,20,NG,1532300175,84,11.71,11.08,74.82,7.4
446,khonsa,92,IN,1532300175,98,26.99,95.51,70.41,2.26
447,tipperary,90,IE,1532298600,88,52.47,-8.16,64.4,5.82
448,lichuan,20,CN,1532300176,64,30.3,108.94,76.8,3.04
449,ust-kuyga,80,RU,1532300176,63,70.0,135.55,55.47,4.16
450,ostrovnoy,32,RU,1532300176,70,68.05,39.51,70.41,17.92
451,matamoros,1,US,1532296380,50,25.87,-97.51,98.6,17.22
452,havre-saint-pierre,1,CA,1532296800,88,50.23,-63.6,64.4,9.17
453,arona,0,IT,1532298000,73,45.76,8.56,73.4,2.24
454,ocos,75,GT,1532296800,55,14.51,-92.19,91.4,6.93
455,kingisepp,0,RU,1532300177,92,59.38,28.61,61.41,2.37
456,byron bay,0,AU,1532298600,82,-28.65,153.62,57.2,2.24
457,suoyarvi,92,RU,1532300178,98,62.08,32.35,66.27,3.6
458,sisimiut,0,GL,1532300178,74,66.94,-53.67,45.39,2.37
459,lowestoft,0,GB,1532298000,77,52.48,1.75,64.4,8.05
460,bulgan,20,MN,1532300178,87,48.81,103.53,58.44,3.71
461,podporozhye,76,RU,1532300179,98,60.91,34.16,65.46,2.93
462,taunggyi,88,MM,1532300179,96,20.78,97.03,68.07,2.93
463,bonfim,32,GY,1532300179,88,3.36,-59.84,75.27,5.95
464,los llanos de aridane,36,ES,1532298600,64,28.66,-17.92,71.6,14.99
465,aparecida do taboado,0,BR,1532300180,72,-20.08,-51.1,69.69,1.59
466,rubtsovsk,100,RU,1532300180,100,51.53,81.22,59.07,7.63
467,atambua,8,ID,1532300180,100,-9.11,124.89,74.19,8.75
468,chifeng,12,CN,1532300180,85,42.27,118.96,78.15,3.71
469,tezu,92,IN,1532300181,100,27.93,96.16,66.54,1.59
470,severo-kurilsk,88,RU,1532299924,96,50.68,156.12,51.51,14.0
471,nicoya,0,CR,1532296800,70,10.15,-85.45,84.2,8.05
472,dauphin,40,CA,1532298960,75,51.15,-100.04,71.6,25.28
473,meulaboh,76,ID,1532300181,100,4.14,96.13,79.32,3.94
474,jodhpur,92,IN,1532300182,73,26.3,73.04,81.75,1.59
475,jacmel,75,HT,1532296800,78,18.24,-72.54,80.6,11.41
476,llata,24,PE,1532300182,73,-9.55,-76.82,45.03,3.15
477,encruzilhada,32,BR,1532300182,97,-15.53,-40.91,61.86,4.94
478,mga,68,RU,1532296800,100,59.76,31.06,66.2,2.24
479,imbituba,75,BR,1532296800,72,-28.24,-48.67,64.4,11.41
480,kortkeros,0,RU,1532296800,76,61.81,51.56,57.2,2.24
481,pangody,44,RU,1532300183,43,65.85,74.49,70.86,7.07
482,goundam,0,ML,1532300183,58,16.42,-3.66,85.35,8.86
483,okhotsk,88,RU,1532300184,88,59.36,143.24,59.16,5.17
484,basco,90,US,1532298900,73,40.33,-91.2,78.8,6.93
485,yantzaza,100,EC,1532300184,100,-3.83,-78.76,61.14,1.92
486,honningsvag,88,NO,1532300021,94,70.98,25.97,51.51,4.16
487,grand-santi,8,GF,1532300184,90,4.27,-54.38,77.25,2.59
488,kloulklubed,90,PW,1532296200,83,7.04,134.26,80.6,5.82
489,scarborough,24,GB,1532296200,77,54.28,-0.41,69.8,5.82
490,kasongo-lunda,0,CD,1532300186,72,-6.48,16.82,62.94,3.49
491,bezhetsk,56,RU,1532300186,72,57.78,36.69,69.06,9.42
492,bubaque,40,GW,1532296800,83,11.28,-15.83,78.8,6.93
493,goderich,80,CA,1532300186,99,43.74,-81.71,63.57,13.56
494,acajutla,20,SV,1532296200,66,13.59,-89.83,93.2,8.05
495,mamakan,0,RU,1532300187,83,57.82,114.02,49.89,2.71
496,petropavlovsk-kamchatskiy,75,RU,1532296800,93,53.05,158.65,57.2,6.71
497,nyurba,32,RU,1532300187,79,63.29,118.35,53.76,4.94
498,veraval,0,FR,1532298600,82,49.65,0.71,62.6,4.72
499,bratsk,92,RU,1532296800,100,56.15,101.63,42.8,2.24
500,bowen,40,AU,1532296800,93,-20.01,148.25,60.8,5.82
501,nonantola,0,IT,1532298000,73,44.68,11.04,73.4,5.82
502,thinadhoo,80,MV,1532300188,100,0.53,72.93,78.69,9.19
503,lavrentiya,92,RU,1532300189,90,65.58,-170.99,45.03,4.16
504,barabai,8,ID,1532300189,90,-2.59,115.38,75.99,2.82
505,dongsheng,0,CN,1532300189,74,29.72,112.52,87.96,7.07
506,ambon,0,FR,1532298600,82,47.55,-2.56,68.0,5.82
507,naze,92,NG,1532300190,98,5.43,7.07,73.56,3.83
508,kirovskiy,100,RU,1532300190,87,45.09,133.51,76.17,3.15
509,ust-tsilma,0,RU,1532300190,64,65.44,52.15,62.67,5.39
510,upington,0,ZA,1532296800,44,-28.46,21.24,59.0,8.05
511,fayaoue,0,NC,1532300191,100,-20.65,166.53,72.57,12.44
512,umm kaddadah,48,SD,1532300191,70,13.6,26.69,77.52,13.56
513,jaumave,5,MX,1532296140,19,23.41,-99.38,100.4,11.41
514,rancho palos verdes,1,US,1532298660,61,33.75,-118.37,98.6,16.11
515,bunda,80,TZ,1532300192,70,-2.02,33.87,73.29,12.44
516,solano,64,PH,1532300192,90,16.52,121.18,73.02,3.15
517,kochi,75,IN,1532296800,94,9.96,76.25,77.0,6.93
518,erenhot,56,CN,1532300193,100,43.65,111.97,66.0,4.61
519,willowmore,0,ZA,1532300193,32,-33.3,23.49,60.42,8.08
520,garowe,0,SO,1532300193,49,8.41,48.48,78.06,15.68
521,rocha,76,UY,1532300193,87,-34.48,-54.34,43.77,4.5
522,itarema,8,BR,1532300193,71,-2.92,-39.92,79.95,14.67
523,kawalu,80,ID,1532300194,100,-7.38,108.21,65.1,2.04
524,yakeshi,0,CN,1532300194,83,49.28,120.73,66.18,9.75
525,udachnyy,68,RU,1532300194,62,66.42,112.4,52.32,3.27
526,ponot,88,PH,1532300194,100,8.45,123.02,78.06,5.39
527,alofi,0,NU,1532296800,69,-19.06,-169.92,77.0,12.75
528,filingue,0,NE,1532300195,72,14.35,3.32,81.12,7.63
529,mizan teferi,44,ET,1532300195,86,6.99,35.58,59.52,2.37
530,pacific grove,1,US,1532298900,44,36.62,-121.92,78.8,21.92
531,vila franca do campo,20,PT,1532298600,83,37.72,-25.43,69.8,5.82
532,elek,64,RO,1532298600,100,46.53,21.25,64.4,2.24
533,galveston,75,US,1532299560,100,40.58,-86.19,77.0,10.29
534,tiksi,76,RU,1532299943,70,71.64,128.87,52.86,6.17
535,kununurra,0,AU,1532298600,87,-15.77,128.74,51.8,2.24
536,victor harbor,0,AU,1532298600,66,-35.55,138.62,55.4,10.29
537,vao,0,EE,1532300197,87,59.1,26.19,62.76,5.5
538,kristianstad,32,SE,1532298000,93,56.03,14.16,57.2,2.24
539,yerbogachen,76,RU,1532300198,60,61.28,108.01,54.84,3.6
540,shingu,0,JP,1532300198,88,33.72,135.99,84.63,4.5
541,cabedelo,20,BR,1532296800,83,-6.97,-34.84,73.4,9.17
542,phan thiet,48,VN,1532300051,95,10.93,108.1,79.95,14.67
543,rochegda,0,RU,1532300199,60,62.67,43.41,65.37,5.95
544,marzuq,24,YE,1532300199,64,14.4,46.47,69.24,6.06
545,lagoa,0,PT,1532298600,60,37.14,-8.45,73.4,4.7
546,odesskoye,92,RU,1532300199,98,54.21,72.97,51.06,16.13
547,uyuni,0,BO,1532300199,41,-20.46,-66.82,34.05,6.96
548,san luis,48,AR,1532300030,24,-33.3,-66.34,44.49,10.42
549,calvinia,0,ZA,1532300200,35,-31.47,19.78,58.62,12.44
550,hervey bay,24,AU,1532299969,93,-25.3,152.85,65.73,3.94
551,sim,0,BR,1532300201,67,-12.25,-38.93,70.32,9.64
552,gay,0,RU,1532296800,75,51.47,58.44,46.4,11.18
553,voh,48,NC,1532300201,93,-20.95,164.69,72.21,10.98
554,penzance,8,GB,1532296200,93,50.12,-5.53,62.6,4.7
555,moron,75,VE,1532296800,65,10.49,-68.2,86.0,2.59
556,nuuk,20,GL,1532296200,76,64.17,-51.74,48.2,9.17
557,talaya,92,RU,1532300151,97,55.79,84.89,57.54,11.65
